Date,Close
2006-06-22,1.1
2006-06-23,1.1
2006-06-26,1.1
2006-06-27,1.06
2006-06-28,1.07
2006-06-29,1.14
2006-06-30,1.13
2006-07-03,1.14
2006-07-05,1.1
2006-07-06,1.09
2006-07-07,1.07
2006-07-10,1.05
2006-07-11,1.07
2006-07-12,1.02
2006-07-13,0.99
2006-07-14,0.97
2006-07-17,0.98
2006-07-18,0.98
2006-07-19,1
2006-07-20,0.98
2006-07-21,0.95
2006-07-24,0.99
2006-07-25,1
2006-07-26,1
2006-07-27,0.99
2006-07-28,1.03
2006-07-31,1.03
2006-08-01,0.99
2006-08-02,1.01
2006-08-03,1.03
2006-08-04,1.02
2006-08-07,1.01
2006-08-08,0.99
2006-08-09,0.99
2006-08-10,1.01
2006-08-11,1
2006-08-14,1
2006-08-15,1.06
2006-08-16,1.11
2006-08-17,1.11
2006-08-18,1.11
2006-08-21,1.09
2006-08-22,1.1
2006-08-23,1.08
2006-08-24,1.08
2006-08-25,1.09
2006-08-28,1.1
2006-08-29,1.11
2006-08-30,1.12
2006-08-31,1.12
2006-09-01,1.13
2006-09-05,1.15
2006-09-06,1.11
2006-09-07,1.1
2006-09-08,1.11
2006-09-11,1.12
2006-09-12,1.17
2006-09-13,1.18
2006-09-14,1.18
2006-09-15,1.19
2006-09-18,1.19
2006-09-19,1.17
2006-09-20,1.21
2006-09-21,1.19
2006-09-22,1.17
2006-09-25,1.22
2006-09-26,1.23
2006-09-27,1.22
2006-09-28,1.23
2006-09-29,1.22
2006-10-02,1.19
2006-10-03,1.2
2006-10-04,1.25
2006-10-05,1.27
2006-10-06,1.26
2006-10-09,1.27
2006-10-10,1.27
2006-10-11,1.27
2006-10-12,1.31
2006-10-13,1.32
2006-10-16,1.32
2006-10-17,1.3
2006-10-18,1.28
2006-10-19,1.29
2006-10-20,1.29
2006-10-23,1.32
2006-10-24,1.3
2006-10-25,1.32
2006-10-26,1.34
2006-10-27,1.3
2006-10-30,1.32
2006-10-31,1.33
2006-11-01,1.29
2006-11-02,1.29
2006-11-03,1.28
2006-11-06,1.31
2006-11-07,1.34
2006-11-08,1.36
2006-11-09,1.34
2006-11-10,1.35
2006-11-13,1.38
2006-11-14,1.41
2006-11-15,1.42
2006-11-16,1.43
2006-11-17,1.43
2006-11-20,1.44
2006-11-21,1.44
2006-11-22,1.46
2006-11-24,1.45
2006-11-27,1.38
2006-11-28,1.39
2006-11-29,1.41
2006-11-30,1.41
2006-12-01,1.39
2006-12-04,1.42
2006-12-05,1.43
2006-12-06,1.42
2006-12-07,1.38
2006-12-08,1.4
2006-12-11,1.41
2006-12-12,1.39
2006-12-13,1.39
2006-12-14,1.42
2006-12-15,1.43
2006-12-18,1.4
2006-12-19,1.4
2006-12-20,1.3
2006-12-21,1.28
2006-12-22,1.26
2006-12-26,1.27
2006-12-27,1.28
2006-12-28,1.27
2006-12-29,1.27
2007-01-03,1.27
2007-01-04,1.32
2007-01-05,1.3
2007-01-08,1.3
2007-01-09,1.32
2007-01-10,1.36
2007-01-11,1.38
2007-01-12,1.39
2007-01-16,1.39
2007-01-17,1.37
2007-01-18,1.31
2007-01-19,1.31
2007-01-22,1.29
2007-01-23,1.28
2007-01-24,1.32
2007-01-25,1.29
2007-01-26,1.28
2007-01-29,1.28
2007-01-30,1.29
2007-01-31,1.3
2007-02-01,1.31
2007-02-02,1.32
2007-02-05,1.31
2007-02-06,1.31
2007-02-07,1.34
2007-02-08,1.34
2007-02-09,1.3
2007-02-12,1.29
2007-02-13,1.3
2007-02-14,1.34
2007-02-15,1.35
2007-02-16,1.35
2007-02-20,1.36
2007-02-21,1.37
2007-02-22,1.39
2007-02-23,1.38
2007-02-26,1.36
2007-02-27,1.23
2007-02-28,1.26
2007-03-01,1.24
2007-03-02,1.2
2007-03-05,1.18
2007-03-06,1.23
2007-03-07,1.22
2007-03-08,1.24
2007-03-09,1.23
2007-03-12,1.25
2007-03-13,1.2
2007-03-14,1.23
2007-03-15,1.23
2007-03-16,1.22
2007-03-19,1.25
2007-03-20,1.27
2007-03-21,1.31
2007-03-22,1.3
2007-03-23,1.29
2007-03-26,1.3
2007-03-27,1.29
2007-03-28,1.26
2007-03-29,1.26
2007-03-30,1.27
2007-04-02,1.26
2007-04-03,1.3
2007-04-04,1.3
2007-04-05,1.32
2007-04-09,1.31
2007-04-10,1.32
2007-04-11,1.3
2007-04-12,1.32
2007-04-13,1.32
2007-04-16,1.35
2007-04-17,1.35
2007-04-18,1.35
2007-04-19,1.35
2007-04-20,1.37
2007-04-23,1.37
2007-04-24,1.38
2007-04-25,1.42
2007-04-26,1.43
2007-04-27,1.44
2007-04-30,1.4
2007-05-01,1.41
2007-05-02,1.42
2007-05-03,1.44
2007-05-04,1.44
2007-05-07,1.44
2007-05-08,1.43
2007-05-09,1.45
2007-05-10,1.41
2007-05-11,1.44
2007-05-14,1.42
2007-05-15,1.4
2007-05-16,1.43
2007-05-17,1.41
2007-05-18,1.43
2007-05-21,1.45
2007-05-22,1.46
2007-05-23,1.44
2007-05-24,1.4
2007-05-25,1.42
2007-05-29,1.44
2007-05-30,1.46
2007-05-31,1.48
2007-06-01,1.48
2007-06-04,1.48
2007-06-05,1.48
2007-06-06,1.45
2007-06-07,1.4
2007-06-08,1.44
2007-06-11,1.43
2007-06-12,1.41
2007-06-13,1.44
2007-06-14,1.47
2007-06-15,1.5
2007-06-18,1.49
2007-06-19,1.49
2007-06-20,1.47
2007-06-21,1.49
2007-06-22,1.46
2007-06-25,1.46
2007-06-26,1.44
2007-06-27,1.47
2007-06-28,1.48
2007-06-29,1.49
2007-07-02,1.51
2007-07-03,1.52
2007-07-05,1.54
2007-07-06,1.56
2007-07-09,1.56
2007-07-10,1.53
2007-07-11,1.56
2007-07-12,1.6
2007-07-13,1.62
2007-07-16,1.62
2007-07-17,1.64
2007-07-18,1.64
2007-07-19,1.65
2007-07-20,1.63
2007-07-23,1.63
2007-07-24,1.59
2007-07-25,1.59
2007-07-26,1.55
2007-07-27,1.49
2007-07-30,1.53
2007-07-31,1.47
2007-08-01,1.49
2007-08-02,1.52
2007-08-03,1.46
2007-08-06,1.48
2007-08-07,1.5
2007-08-08,1.55
2007-08-09,1.47
2007-08-10,1.44
2007-08-13,1.46
2007-08-14,1.41
2007-08-15,1.36
2007-08-16,1.33
2007-08-17,1.38
2007-08-20,1.39
2007-08-21,1.43
2007-08-22,1.46
2007-08-23,1.45
2007-08-24,1.5
2007-08-27,1.47
2007-08-28,1.4
2007-08-29,1.48
2007-08-30,1.5
2007-08-31,1.53
2007-09-04,1.58
2007-09-05,1.55
2007-09-06,1.55
2007-09-07,1.5
2007-09-10,1.49
2007-09-11,1.53
2007-09-12,1.54
2007-09-13,1.54
2007-09-14,1.54
2007-09-17,1.52
2007-09-18,1.6
2007-09-19,1.61
2007-09-20,1.6
2007-09-21,1.62
2007-09-24,1.63
2007-09-25,1.66
2007-09-26,1.68
2007-09-27,1.7
2007-09-28,1.69
2007-10-01,1.72
2007-10-02,1.72
2007-10-03,1.7
2007-10-04,1.7
2007-10-05,1.78
2007-10-08,1.8
2007-10-09,1.82
2007-10-10,1.83
2007-10-11,1.77
2007-10-12,1.82
2007-10-15,1.79
2007-10-16,1.79
2007-10-17,1.82
2007-10-18,1.84
2007-10-19,1.75
2007-10-22,1.78
2007-10-23,1.85
2007-10-24,1.84
2007-10-25,1.81
2007-10-26,1.84
2007-10-29,1.86
2007-10-30,1.86
2007-10-31,1.91
2007-11-01,1.86
2007-11-02,1.88
2007-11-05,1.85
2007-11-06,1.88
2007-11-07,1.8
2007-11-08,1.67
2007-11-09,1.57
2007-11-12,1.49
2007-11-13,1.61
2007-11-14,1.59
2007-11-15,1.56
2007-11-16,1.59
2007-11-19,1.55
2007-11-20,1.56
2007-11-21,1.51
2007-11-23,1.55
2007-11-26,1.51
2007-11-27,1.55
2007-11-28,1.65
2007-11-29,1.66
2007-11-30,1.65
2007-12-03,1.62
2007-12-04,1.6
2007-12-05,1.66
2007-12-06,1.7
2007-12-07,1.71
2007-12-10,1.72
2007-12-11,1.64
2007-12-12,1.67
2007-12-13,1.64
2007-12-14,1.62
2007-12-17,1.54
2007-12-18,1.54
2007-12-19,1.56
2007-12-20,1.54
2007-12-21,1.59
2007-12-24,1.61
2007-12-26,1.63
2007-12-27,1.58
2007-12-28,1.58
2007-12-31,1.55
2008-01-02,1.5
2008-01-03,1.51
2008-01-04,1.38
2008-01-07,1.36
2008-01-08,1.3
2008-01-09,1.34
2008-01-10,1.34
2008-01-11,1.3
2008-01-14,1.34
2008-01-15,1.28
2008-01-16,1.24
2008-01-17,1.21
