Date,Close
2006-05-10,41.48
2006-05-11,40.55
2006-05-12,40
2006-05-15,39.97
2006-05-16,39.67
2006-05-17,39.14
2006-05-18,38.87
2006-05-19,39.17
2006-05-22,38.79
2006-05-23,38.41
2006-05-24,38.67
2006-05-25,39.18
2006-05-26,39.31
2006-05-30,38.46
2006-05-31,38.64
2006-06-01,39.55
2006-06-02,39.46
2006-06-05,38.6
2006-06-06,38.57
2006-06-07,38.28
2006-06-08,38.22
2006-06-09,37.97
2006-06-12,37.23
2006-06-13,37.08
2006-06-14,37.45
2006-06-15,38.47
2006-06-16,38.16
2006-06-19,37.85
2006-06-20,37.9
2006-06-21,38.5
2006-06-22,38.01
2006-06-23,37.97
2006-06-26,38.07
2006-06-27,37.36
2006-06-28,37.63
2006-06-29,38.78
2006-06-30,38.59
2006-07-03,38.82
2006-07-05,37.97
2006-07-06,37.93
2006-07-07,37.51
2006-07-10,37.19
2006-07-11,37.46
2006-07-12,36.76
2006-07-13,36.14
2006-07-14,35.77
2006-07-17,35.86
2006-07-18,35.98
2006-07-19,36.45
2006-07-20,35.91
2006-07-21,35.53
2006-07-24,36.24
2006-07-25,36.45
2006-07-26,36.42
2006-07-27,36.18
2006-07-28,36.94
2006-07-31,36.93
2006-08-01,36.31
2006-08-02,36.72
2006-08-03,36.95
2006-08-04,36.78
2006-08-07,36.54
2006-08-08,36.31
2006-08-09,36.36
2006-08-10,36.62
2006-08-11,36.36
2006-08-14,36.6
2006-08-15,37.52
2006-08-16,38.4
2006-08-17,38.55
2006-08-18,38.61
2006-08-21,38.24
2006-08-22,38.25
2006-08-23,37.96
2006-08-24,38.07
2006-08-25,38.14
2006-08-28,38.43
2006-08-29,38.55
2006-08-30,38.73
2006-08-31,38.69
2006-09-01,38.9
2006-09-05,39.28
2006-09-06,38.49
2006-09-07,38.3
2006-09-08,38.54
2006-09-11,38.78
2006-09-12,39.5
2006-09-13,39.77
2006-09-14,39.8
2006-09-15,39.92
2006-09-18,39.92
2006-09-19,39.66
2006-09-20,40.24
2006-09-21,39.99
2006-09-22,39.68
2006-09-25,40.38
2006-09-26,40.58
2006-09-27,40.53
2006-09-28,40.64
2006-09-29,40.46
2006-10-02,39.95
2006-10-03,40.12
2006-10-04,41.11
2006-10-05,41.31
2006-10-06,41.22
2006-10-09,41.36
2006-10-10,41.43
2006-10-11,41.35
2006-10-12,42.03
2006-10-13,42.23
2006-10-16,42.25
2006-10-17,41.8
2006-10-18,41.61
2006-10-19,41.7
2006-10-20,41.8
2006-10-23,42.23
2006-10-24,41.93
2006-10-25,42.23
2006-10-26,42.62
2006-10-27,42.01
2006-10-30,42.28
2006-10-31,42.38
2006-11-01,41.8
2006-11-02,41.84
2006-11-03,41.73
2006-11-06,42.34
2006-11-07,42.63
2006-11-08,42.83
2006-11-09,42.6
2006-11-10,42.83
2006-11-13,43.26
2006-11-14,43.73
2006-11-15,43.9
2006-11-16,44.09
2006-11-17,44.09
2006-11-20,44.18
2006-11-21,44.24
2006-11-22,44.52
2006-11-24,44.44
2006-11-27,43.46
2006-11-28,43.57
2006-11-29,43.86
2006-11-30,43.83
2006-12-01,43.46
2006-12-04,44.05
2006-12-05,44.21
2006-12-06,44.05
2006-12-07,43.5
2006-12-08,43.7
2006-12-11,43.85
2006-12-12,43.6
2006-12-13,43.68
2006-12-14,44.16
2006-12-15,44.22
2006-12-18,43.79
2006-12-19,43.65
2006-12-20,43.49
2006-12-21,43.18
2006-12-22,42.73
2006-12-26,42.91
2006-12-27,43.13
2006-12-28,42.92
2006-12-29,42.96
2007-01-03,43.04
2007-01-04,43.85
2007-01-05,43.65
2007-01-08,43.68
2007-01-09,43.89
2007-01-10,44.41
2007-01-11,44.87
2007-01-12,45.1
2007-01-16,45.07
2007-01-17,44.7
2007-01-18,43.87
2007-01-19,43.96
2007-01-22,43.49
2007-01-23,43.38
2007-01-24,44.09
2007-01-25,43.53
2007-01-26,43.37
2007-01-29,43.41
2007-01-30,43.43
2007-01-31,43.86
2007-02-01,43.81
2007-02-02,43.95
2007-02-05,43.91
2007-02-06,43.84
2007-02-07,44.25
2007-02-08,44.24
2007-02-09,43.64
2007-02-12,43.5
2007-02-13,43.66
2007-02-14,44.39
2007-02-15,44.65
2007-02-16,44.5
2007-02-20,44.84
2007-02-21,44.98
2007-02-22,45.21
2007-02-23,45.05
2007-02-26,44.83
2007-02-27,42.99
2007-02-28,43.13
2007-03-01,42.93
2007-03-02,42.28
2007-03-05,41.95
2007-03-06,42.65
2007-03-07,42.48
2007-03-08,42.77
2007-03-09,42.78
2007-03-12,43.01
2007-03-13,42.17
2007-03-14,42.79
2007-03-15,42.69
